cluster_id,region,annual_opex,annual_revenue,payback_base_years,CAPEXC,CAPEXB,CAPEXO
110,Mainland,4202536.0,23056205.12,7.1,153505786.72,133483292.8,120134963.52
111,Mainland,3795844.0,17801744.48,7.4,118522140.88,103062731.2,92756458.08
112,Mainland,1879488.0,5975344.96,8.4,39783217.76,34594102.4,31134692.16
113,Mainland,1941472.0,6776178.24,8.1,45115081.44,39230505.6,35307455.04
114,Mainland,1944176.0,6811113.92,8.1,45347679.52,39432764.8,35489488.32
115,Mainland,1863264.0,5765730.88,8.6,38387629.28,33380547.2,30042492.48
116,Mainland,3845608.0,18444695.36,7.3,122802840.16,106785078.4,96106570.56
117,Mainland,2381028.0,12455241.76,7.2,82925688.56,72109294.4,64898364.96
118,Mainland,3551184.0,14640737.28,7.6,97476487.68,84762163.2,76285946.88
119,Mainland,3767296.0,17432904.32,7.4,116066441.92,100927340.8,90834606.72
120,Mainland,2420340.0,12963152.8,7.1,86307306.8,75049832.0,67544848.8
121,Mainland,2029872.0,7918306.24,7.8,52719249.44,45842825.6,41258543.04
122,Mainland,729930.51,1032702.19,19.7,6875622.5,5978802.18,5380921.96
123,Mainland,1679028.0,3385401.76,11.5,22539648.56,19599694.4,17639724.96
124,Mainland,835640.0,2398468.8,8.9,15968752.8,13885872.0,12497284.8
125,Mainland,2326733.15,11753752.25,7.2,78255245.25,68048039.35,61243235.42
126,Mainland,5774600.0,31945992.0,7.1,212693052.0,184950480.0,166455432.0
127,Mainland,2283320.0,11192854.4,7.3,74520846.4,64800736.0,58320662.4
128,Mainland,5797584.0,32242945.28,7.1,214670135.68,186669683.2,168002714.88
129,Mainland,2200224.0,10119254.08,7.4,67372928.48,58585155.2,52726639.68
130,Mainland,765804.0,1496187.68,11.9,9961460.08,8662139.2,7795925.28
131,Mainland,7977476.0,47474229.92,7.0,316078425.52,274850804.8,247365724.32
132,Mainland,1938976.0,6743929.92,8.1,44900375.52,39043804.8,35139424.32
133,Mainland,2211456.0,10264371.52,7.4,68339105.12,59425308.8,53482777.92
134,Mainland,6502184.0,41346377.28,6.9,275279827.68,239373763.2,215436386.88
135,Mainland,2305604.94,11480775.87,7.2,76437797.21,66467649.75,59820884.78
136,Mainland,4135508.0,22190203.36,7.1,147740038.16,128469598.4,115622638.56
137,Mainland,3887928.72,18991479.06,7.3,126443268.49,109950668.26,98955601.43
138,Mainland,5873449.34,33223125.44,7.0,221196072.02,192344410.45,173109969.41
139,Mainland,2174380.0,9785349.6,7.4,65149827.6,56652024.0,50986821.6
140,Mainland,843960.0,2505963.2,8.7,16684439.2,14508208.0,13057387.2
141,Mainland,2147860.0,9442711.2,7.5,62868577.2,54668328.0,49201495.2
142,Mainland,1706640.0,3742148.8,10.6,24914832.8,21665072.0,19498564.8
143,Mainland,3475836.0,13667241.12,7.8,90995052.72,79126132.8,71213519.52
144,Mainland,3984604.0,20240523.68,7.2,134759276.08,117181979.2,105463781.28
145,Mainland,2363764.0,12232190.88,7.2,81440639.28,70817947.2,63736152.48
146,Mainland,6578000.0,42325920.0,6.9,281801520.0,245044800.0,220540320.0
147,Mainland,3790332.0,17730529.44,7.4,118047998.64,102650433.6,92385390.24
148,Mainland,1704465.36,3714052.45,10.7,24727770.27,21502408.93,19352168.04
149,Mainland,660192.0,131680.64,,876715.84,762361.6,686125.44
150,Mainland,2108444.0,8933456.48,7.6,59478012.88,51720011.2,46548010.08
151,Mainland,880280.59,2975225.17,8.2,19808735.97,17224987.8,15502489.02
152,Mainland,1787292.0,4784172.64,9.2,31852517.84,27697841.6,24928057.44
153,Mainland,3515460.0,14179183.2,7.7,94403509.2,82090008.0,73881007.2
154,Mainland,2391896.0,12595656.32,7.1,83860553.92,72922220.8,65629998.72
155,Mainland,5666492.0,30549236.64,7.1,203393601.84,176864001.6,159177601.44
156,Mainland,3502720.0,14014582.4,7.7,93307614.4,81137056.0,73023350.4
157,Mainland,8108152.61,49162571.77,6.9,327319227.82,284625415.5,256162873.95
158,Mainland,1953640.0,6933388.8,8.1,46161772.8,40140672.0,36126604.8
159,Mainland,2159508.0,9593203.36,7.5,63870538.16,55539598.4,49985638.56
160,Mainland,800800.0,1948336.0,9.8,12971816.0,11279840.0,10151856.0
161,Mainland,1746056.0,4251403.52,9.8,28305397.12,24613388.8,22152049.92
162,Mainland,1967888.0,7117472.96,8.0,47387385.76,41206422.4,37085780.16
163,Mainland,3479580.0,13715613.6,7.8,91317111.6,79406184.0,71465565.6
164,Mainland,3716492.0,16776516.64,7.4,111696281.84,97127201.6,87414481.44
165,Mainland,6155812.0,36871251.04,6.9,245484908.24,213465137.6,192118623.84
166,Mainland,1941732.0,6779537.44,8.1,45137446.64,39249953.6,35324958.24
167,Mainland,1837576.0,5433841.92,8.7,36177947.52,31459084.8,28313176.32
168,Mainland,861952.0,2738419.84,8.4,18232111.04,15854009.6,14268608.64
169,Mainland,1734876.0,4106957.92,10.0,27343693.52,23777124.8,21399412.32
170,Mainland,3925064.0,19471266.88,7.3,129637645.28,112728387.2,101455548.48
171,Mainland,4483024.0,26680110.08,7.0,177633364.48,154463795.2,139017415.68
172,Mainland,1910116.0,6371058.72,8.3,42417838.32,36885076.8,33196569.12
173,Mainland,5867628.0,33147913.76,7.0,220695320.56,191908974.4,172718076.96
174,Mainland,3729908.0,16949851.36,7.4,112850326.16,98130718.4,88317646.56
175,Mainland,813696.0,2114952.32,9.4,14081129.92,12244460.8,11020014.72
176,Mainland,3605316.0,15340122.72,7.6,102132922.32,88811236.8,79930113.12
177,Mainland,2325960.0,11743763.2,7.2,78188739.2,67990208.0,61191187.2
178,Mainland,772616.0,1584198.72,11.3,10547428.32,9171676.8,8254509.12
179,Mainland,2022384.0,7821561.28,7.8,52075131.68,45282723.2,40754450.88
180,Mainland,2083536.0,8611645.12,7.6,57335426.72,49856892.8,44871203.52
181,Mainland,3794492.0,17784276.64,7.4,118405841.84,102961601.6,92665441.44
