cluster_id,region,annual_opex,payback_base,CAPEXC,CAPEXB,CAPEXO
133,Mainland,1834560.0,0,969812300.6,843315044.0,758983539.6
134,Mainland,3057600.0,0,3906544613.4,3396995316.0,3057295784.4
135,Mainland,2446080.0,0,1084742269.29,943254147.21,848928732.49
136,Mainland,3057600.0,0,2096604953.3,1823134742.0,1640821267.8
137,Mainland,3057600.0,0,1794378736.72,1560329336.28,1404296402.65
138,Mainland,3057600.0,0,3139032492.64,2729593471.86,2456634124.68
139,Mainland,1834560.0,0,924552700.5,803958870.0,723562983.0
140,Mainland,1223040.0,0,236771821.0,205888540.0,185299686.0
141,Mainland,1834560.0,0,892179073.5,775807890.0,698227101.0
142,Mainland,1223040.0,0,353570789.0,307452860.0,276707574.0
143,Mainland,2446080.0,0,1291326851.1,1122892914.0,1010603622.6
144,Mainland,3057600.0,0,1912392667.9,1662950146.0,1496655131.4
145,Mainland,2446080.0,0,1155738483.9,1004989986.0,904490987.4
146,Mainland,3057600.0,0,3999095100.0,3477474000.0,3129726600.0
147,Mainland,3057600.0,0,1675239980.7,1456730418.0,1311057376.2
148,Mainland,1223040.0,0,350916151.59,305144479.64,274630031.68
149,Mainland,611520.0,0,12441629.2,10818808.0,9736927.2
150,Mainland,1834560.0,0,844062976.9,733967806.0,660571025.4
151,Mainland,1223040.0,0,281109267.86,244442841.61,219998557.45
152,Mainland,1834560.0,0,452024701.7,393064958.0,353758462.2
153,Mainland,2446080.0,0,1339696858.5,1164953790.0,1048458411.0
154,Mainland,2446080.0,0,1190079919.6,1034852104.0,931366893.6
155,Mainland,3057600.0,0,2886394496.7,2509908258.0,2258917432.2
156,Mainland,2446080.0,0,1324144822.0,1151430280.0,1036287252.0
157,Mainland,3057600.0,0,4645044924.24,4039169499.34,3635252549.4
158,Mainland,1834560.0,0,655089864.0,569643360.0,512679024.0
159,Mainland,1834560.0,0,906398078.3,788172242.0,709355017.8
160,Mainland,1223040.0,0,184085330.0,160074200.0,144066780.0
161,Mainland,1223040.0,0,401686885.6,349292944.0,314363649.6
162,Mainland,1834560.0,0,672482753.8,584767612.0,526290850.8
163,Mainland,2446080.0,0,1295897245.5,1126867170.0,1014180453.0
164,Mainland,3057600.0,0,1585101646.7,1378349258.0,1240514332.2
165,Mainland,3057600.0,0,3483719653.7,3029321438.0,2726389294.2
166,Mainland,1834560.0,0,640553470.7,557003018.0,501302716.2
167,Mainland,1834560.0,0,513407637.6,446441424.0,401797281.6
168,Mainland,1223040.0,0,258735105.2,224987048.0,202488343.2
169,Mainland,1223040.0,0,388039180.1,337425374.0,303682836.6
170,Mainland,3057600.0,0,1839710701.4,1599748436.0,1439773592.4
171,Mainland,3057600.0,0,2520826422.4,2192022976.0,1972820678.4
172,Mainland,1834560.0,0,601959029.1,523442634.0,471098370.6
173,Mainland,3057600.0,0,3131926240.3,2723414122.0,2451072709.8
174,Mainland,3057600.0,0,1601478893.3,1392590342.0,1253331307.8
175,Mainland,1223040.0,0,199827799.6,173763304.0,156386973.6
176,Mainland,3057600.0,0,1449386324.1,1260335934.0,1134302340.6
177,Mainland,2446080.0,0,1109590196.0,964861040.0,868374936.0
178,Mainland,1223040.0,0,149680416.6,130156884.0,117141195.6
179,Mainland,1834560.0,0,739007383.4,642615116.0,578353604.4
180,Mainland,1834560.0,0,813657158.6,707527964.0,636775167.6
181,Mainland,3057600.0,0,1680318196.7,1461146258.0,1315031632.2
182,Mainland,1834560.0,0,563555020.6,490047844.0,441043059.6
183,Mainland,3057600.0,0,1803528412.4,1568285576.0,1411457018.4
184,Mainland,3057600.0,0,1925024730.2,1673934548.0,1506541093.2
185,Mainland,1834560.0,0,495570403.9,430930786.0,387837707.4
186,Mainland,3057600.0,0,4228630463.2,3677069968.0,3309362971.2
187,Mainland,3057600.0,0,2802857843.5,2437267690.0,2193540921.0
188,Mainland,3057600.0,0,1582308627.9,1375920546.0,1238328491.4
189,Mainland,611520.0,0,0.0,0.0,0.0
190,Mainland,3057600.0,0,1501818904.3,1305929482.0,1175336533.8
191,Mainland,2446080.0,0,1410157105.5,1226223570.0,1103601213.0
192,Mainland,611520.0,0,108356433.9,94222986.0,84800687.4
193,Mainland,3057600.0,0,2804381308.3,2438592442.0,2194733197.8
194,Mainland,1834560.0,0,906118776.42,787929370.8,709136433.72
195,Mainland,3057600.0,0,4002459418.1,3480399494.0,3132359544.6
196,Mainland,3057600.0,0,2037705023.81,1771917412.01,1594725670.81
197,Mainland,1223040.0,0,253149067.6,220129624.0,198116661.6
198,Mainland,3057600.0,0,1880190684.6,1634948421.39,1471453579.25
199,Mainland,1834560.0,0,548066461.8,476579532.0,428921578.8
200,Mainland,3057600.0,0,3731663549.9,3244924826.0,2920432343.4
201,Mainland,1834560.0,0,817275387.5,710674250.0,639606825.0
202,Mainland,2446080.0,0,1118865494.05,972926516.56,875633864.91
203,Mainland,1834560.0,0,981936541.3,853857862.0,768472075.8
204,Mainland,1834560.0,0,841079525.0,731373500.0,658236150.0
205,Mainland,1834560.0,0,637125674.9,554022326.0,498620093.4
206,Mainland,3057600.0,0,2215435207.7,1926465398.0,1733818858.2
207,Mainland,1834560.0,0,828891806.6,720775484.0,648697935.6
208,Mainland,2446080.0,0,1312217362.17,1141058575.8,1026952718.22
209,Mainland,611520.0,0,0.0,0.0,0.0
210,Mainland,2446080.0,0,1093505454.64,950874308.38,855786877.55
211,Mainland,3057600.0,0,1724117809.7,1499232878.0,1349309590.2
