cluster_id,region,waste_tonnes_week,total_cost,area_km2
49,Mainland,13168.0,36861.39680969509,40633.40657601448
50,Mainland,1551.0,5873.969033164328,110757.43851834367
51,Mainland,3129.0,7254.586281879074,318.30210133236193
52,Mainland,19914.0,56895.25140916322,65973.6772613442
53,Mainland,5949.0,16987.19095182457,64023.190230439905
54,Mainland,26470.0,74906.97788649285,51038.279404982175
55,Mainland,7981.0,22672.739040949076,49385.83594961222
56,Mainland,2282.0,14364.607330137758,193385.25649421397
57,Mainland,18784.0,44664.74294724078,32059.956149065496
58,Mainland,43878.0,102980.48938691491,19841.399954244374
59,Mainland,9598.0,22587.414237875237,21890.639501849273
60,Mainland,25522.0,59969.41936372876,20905.216924721626
61,Mainland,22724.0,53422.67150324584,21457.117556103753
62,Mainland,32147.44,90134.47544183543,37013.20897673785
63,Mainland,67423.0,158326.93353889597,20638.78829226162
64,Mainland,13381.0,37899.99987554336,51936.15141287416
65,Mainland,19358.0,53819.77350646448,33442.62282892466
66,Mainland,8845.0,21178.64312172364,18751.952171258756
67,Mainland,32752.0,76914.38018389752,21673.40885915679
68,Mainland,62364.0,146830.30375834258,22216.28495091616
69,Mainland,11432.0,27122.10221200023,22006.1458946693
70,Mainland,42066.0,118050.0670614237,42732.372738350416
71,Mainland,43967.0,123128.92521715158,41385.902881151764
72,Mainland,20060.0,56621.693738435206,55237.282160711475
73,Mainland,1960.245,4556.55247877872,600.8462953604278
74,Mainland,22064.0,51527.18767786211,10098.325550823316
75,Mainland,2884.0,11059.243355744507,126983.83360707645
76,Mainland,12098.0,28408.941481434143,10737.180169206607
77,Mainland,0.0,0.0,457.6639183844687
78,Mainland,34142.0,96311.72469846261,53543.21436819011
79,Mainland,4342.0,16037.112515568013,88524.82590157332
80,Mainland,13448.0,37675.559803198914,40495.20559541763
81,Mainland,31836.0,74123.18315728582,14046.169070116852
82,Mainland,8918.0,56108.266684027985,191184.820135721
83,Mainland,50505.0,117797.8569334349,16179.133266899202
84,Mainland,46599.0,110764.66293504744,29243.943367665797
85,Mainland,39690.0,93996.87834724181,25134.86259301008
86,Mainland,12008.0,28657.205476522504,20203.986045717003
87,Mainland,28578.0,66612.41452869479,13613.409205347503
88,Mainland,19850.0,56007.293988719844,45639.036901833235
89,Mainland,20059.0,48102.91361305543,32488.188119611234
90,Mainland,3138.0,7373.358308500849,15652.839597763119
91,Mainland,64398.0,234953.44903353852,77761.16806253132
92,Mainland,58919.0,139949.34766355748,27816.260414190612
93,Mainland,65558.8,152214.14225279406,13627.026309193969
94,Mainland,35410.0,98507.07064886723,33469.95631600301
95,Mainland,60669.0,224549.79163371935,103944.41387786019
96,Mainland,20930.0,58570.61349721109,38882.42424110855
97,Mainland,38393.0,140131.42137609018,79207.56793515464
98,Mainland,67915.0,159006.51502155545,17538.4808860935
99,Mainland,36940.2322,87336.5372974227,23043.013841839183
100,Mainland,17348.7346,48890.09076836624,48869.31370309652
101,Mainland,12948.0,36635.21140793133,41739.85751481597
102,Mainland,11543.0,32991.780002123036,59040.777128652975
103,Mainland,41160.0,114332.7099233831,33637.429791323055
104,Mainland,8579.06,23951.418065042846,33602.528827575516
105,Mainland,11362.0,31894.154171725575,45671.5400653853
106,Mainland,28623.0,80882.67678124715,50957.48239345435
107,Mainland,59140.686,371690.2461707238,287120.9137366845
108,Mainland,2307.1445999999996,8953.098083571425,170752.18419053225
109,Mainland,10847.0,26009.81642538299,23345.573001830577
110,Mainland,34318.0,96813.99559294787,48592.9073084743
111,Mainland,26497.0,63255.59138332154,29983.174931780562
112,Mainland,8894.0,33824.1443373718,171412.5113228281
113,Mainland,10086.0,37567.415865322946,102323.06447605282
