cluster_id,start_year,build_year,CAPEX,annual_profit
153,2062,2062,1262001080.34,220305256.85375226
266,2062,2062,1264632117.89,220758204.85548672
7,2062,2062,782494486.49,136586027.02830827
207,2062,2062,780820189.86,136286421.54541817
96,2062,2062,1251536726.4399998,218425737.64814502
107,2062,2062,3536394675.389999,616966319.0091225
201,2062,2062,769877465.5,134304345.07064182
243,2062,2062,767425816.8699999,133855981.58151162
203,2062,2062,924989088.4499999,161302376.24309388
80,2062,2062,804140749.9799999,140214880.75023362
258,2062,2062,1219186923.8100002,212564208.8553502
143,2062,2062,1216436293.6399999,212081117.57133266
176,2062,2062,1365329100.56,238013744.76816905
64,2062,2062,800134397.35,139469807.38647175
72,2062,2062,1199513938.48,209003795.46560135
49,2062,2062,787397783.7399999,137192251.61589587
214,2062,2062,734537847.4699999,127908223.21643099
191,2062,2062,1328374982.22,231286655.54847613
101,2062,2062,774242595.9799999,134795825.98678753
12,2062,2062,1321259221.57,230029988.13795772
76,2062,2062,723415734.18,125919232.12296543
180,2062,2062,766469075.9399999,133406647.31598586
267,2062,2062,718990807.39,125095799.18774688
86,2062,2062,718034066.4599999,124921154.88522084
194,2062,2062,853568378.1700001,148496856.57895407
121,2062,2062,704759286.0900002,122523413.604554
37,2062,2062,1266246618.21,220086379.6282615
208,2062,2062,1236115258.6,214773676.534764
156,2062,2062,1247350984.88,216724957.04135326
69,2062,2062,683591393.0600001,118695908.13497597
163,2062,2062,1220741627.82,211931686.09395167
150,2062,2062,795111507.48,137981774.67507544
179,2062,2062,696148617.74,120693326.05872943
221,2062,2062,659134703.0799999,114274535.83786269
48,2062,2062,654350998.4399999,113400974.54876262
102,2062,2062,690228783.2399999,119605724.82988961
213,2062,2062,679585040.4200001,117732502.79370478
109,2062,2062,648610552.8800001,112350158.12588009
105,2062,2062,679405651.5,117681520.02307028
0,2062,2062,640373826.71,110910588.00519344
31,2062,2062,677432373.3299999,117327240.08861281
264,2062,2062,646697071.02,112002738.64684138
162,2062,2062,633482086.9499999,109613456.29325074
271,2062,2062,647534219.3299999,111921609.80346845
262,2062,2062,612015212.38,105731187.80227134
114,2062,2062,606214970.5,104687684.54634278
166,2062,2062,603404544.0300001,104169776.57983121
205,2062,2062,600175543.4000001,103581541.92146318
216,2062,2062,608427433.9,104843864.90051733
59,2062,2062,573924964.18,98856187.13963048
2,2062,2062,565792666.3000001,97400981.45133016
14,2062,2062,296529891.36999995,50966348.334937885
