cluster_id,region,center_lat,center_lon,area_km2,waste_tonnes_week,waste_from_population,waste_from_objects,polygon
35,Mainland,48.30452710474289,37.73319250434768,60331.079039162476,42524.0,41160.0,1364,"[[36.7684213, 46.7668906], [36.5783772, 46.8496787], [37.0256908, 48.920545], [37.2751697, 49.1888231], [37.6253708, 49.3774333], [37.6256659, 49.3774511], [38.0503378, 48.8305009], [38.3892059, 48.3338356], [38.499701, 47.7867561], [38.1596723, 47.0728443], [36.7684213, 46.7668906]]"
36,Mainland,59.49826163560385,17.89906648900933,149885.50751729961,33427.0,27538.0,5889,"[[18.2036528, 57.383845], [16.9935495, 58.7535211], [16.8145748, 58.994999], [16.8319018, 59.071126], [17.2355909, 60.3871044], [17.4115736, 60.6261257], [17.4118928, 60.6261329], [19.7722077, 60.2014129], [19.0588314, 57.8573296], [18.2036528, 57.383845]]"
37,Mainland,57.015948007307806,24.45084247000005,110620.75049700553,21176.0,19600.0,1576,"[[23.6276078, 56.2321029], [23.3340235, 56.4048494], [23.222028, 57.1628554], [23.6234687, 58.7252342], [25.3075162, 58.3186193], [25.6177759, 57.3289364], [25.6577856, 57.1553071], [25.7610421, 56.5077949], [25.0174788, 56.3646944], [23.6276078, 56.2321029]]"
38,Mainland,38.832870699097214,-9.163158567268658,10915.75793538766,28420.0,28420.0,0,"[[-9.115584, 38.4378224], [-9.4340056, 38.6966137], [-9.4467647, 38.7535845], [-9.4370743, 38.848005], [-9.3364616, 39.3686064], [-9.0267826, 39.5855981], [-8.8275737, 39.4495394], [-8.6297755, 39.2081955], [-8.5235336, 38.962116], [-8.8898233, 38.5306387], [-9.115584, 38.4378224]]"
39,Mainland,44.14110936615379,15.388045604615366,23781.429573265512,3920.0,3920.0,0,"[[15.9161252, 43.6736323], [15.8350731, 43.6974986], [15.6367471, 43.7905535], [15.4160487, 43.9224517], [14.2492465, 44.6359122], [14.9014196, 44.9908864], [15.6533701, 44.9413616], [16.2060255, 44.0491393], [16.1554835, 43.8603792], [15.9161252, 43.6736323]]"
40,Mainland,48.82575057417092,21.569352448578332,39718.14679879702,14066.0,11760.0,2306,"[[21.4272787, 47.8435048], [21.176355, 48.109192], [21.070616, 48.285515], [20.9517717, 48.6076744], [20.8488042, 48.9847699], [20.779348, 49.2739557], [21.0680569, 49.6897983], [21.1580854, 49.6985219], [21.2555489, 49.7025935], [21.2942335, 49.6947215], [21.3871408, 49.6454052], [22.0024324, 49.2722933], [22.3561144, 49.0486081], [22.6498784, 48.7771315], [21.8466295, 47.873032], [21.4272787, 47.8435048]]"
41,Mainland,40.91429103668838,16.713847263311717,18927.49825762493,16785.0,14700.0,2085,"[[16.2891252, 40.147868], [16.2287772, 40.3134041], [16.1489476, 40.6182355], [16.1487057, 40.6194844], [16.1620513, 41.8767423], [17.2253764, 40.9932633], [17.1249976, 40.585149], [16.6997932, 40.2490072], [16.2891252, 40.147868]]"
42,Mainland,49.29708797219937,4.371123468879686,37716.228409661206,17601.0,15190.0,2411,"[[4.4072417, 48.6105698], [4.0879279, 48.6792967], [3.9201864, 48.7256227], [3.8775946, 48.7871506], [3.7366068, 49.0816421], [3.8057649, 49.6109458], [3.9168198, 49.9805844], [4.0104817, 50.013525], [4.0506337, 50.0214597], [4.3167071, 50.0499225], [4.496248, 50.0529196], [5.2929838, 50.0175002], [5.2667861, 49.5838314], [5.1845174, 48.6530604], [5.1303537, 48.6350206], [4.8112921, 48.6159557], [4.4072417, 48.6105698]]"
43,Mainland,45.59307764272741,6.6122277159091105,17391.038475352725,18390.0,11760.0,6630,"[[6.5713669, 44.7237013], [6.5374875, 44.7543505], [6.2796481, 45.2456804], [6.160965, 45.5726419], [6.1671423, 45.6492901], [6.2240798, 45.7772588], [6.3024205, 45.8979464], [6.4402678, 46.0641181], [6.5025297, 46.0866161], [6.6744853, 46.0960405], [6.9948055, 46.0550993], [7.1460365, 46.0285844], [7.2202356, 45.7091431], [7.0141841, 45.1396062], [6.9412652, 45.0133857], [6.8789454, 44.9575952], [6.5717579, 44.7237592], [6.5713669, 44.7237013]]"
44,Mainland,36.888757651152154,-4.761014710599089,37787.46283429517,34170.0,29400.0,4770,"[[-5.3232668, 35.8876177], [-5.343504, 35.8881082], [-5.4671591, 36.1477158], [-5.4673478, 36.762626], [-5.344517, 37.4635009], [-5.113852, 37.8152721], [-4.6321056, 38.3269373], [-4.1845385, 37.8732401], [-4.0785813, 37.5878333], [-3.8432085, 36.7594811], [-5.3232668, 35.8876177]]"
